	VISION_HEADER	Header1		Vision
	VISION_TEXT	Text		Zu aller erst: Ist für in den folgenden drei Zielformulierungen jene Welt erkennbar, die du dir wünschst? 
	VISION_GOALS	Particle		"Freie Entfaltung für tiefgründige Zufriedenheit eines jeden Menschen
Synergetisches Miteinander und Frieden in der Welt
Ressourcenreichhaltigkeit im Einklang mit den Ökosystemen der Erde"
	I_HEADER	Header1		1 Der einzelne Mensch und sein Bewusstsein über sich selbst 
	I_INTROHEADER	Intro		Einführung
	I_INTROTEXT	Text		"In diesem Abschnitt geht es um unser Bewusstsein über uns als einzelne Menschen.
Wir sind zwar Einzelne, aber wir sind nicht isoliert voneinander. Wir sind verwoben mit allem, was uns umgibt.
Alles das - egal ob es physisch, sozial, mental, spirituell oder Sonstiges ist - bezeichnen wir als UMWELT.  […]"
	I_ENVIRO_HEADER	Header2		Interaktion mit der Umwelt
	I_ENVIRO_CONNECTED	Particle	1	Jeder Mensch ist mit seiner Umwelt verwoben.
	I_ENVIRO_INTERDEP	Particle	2	Wir stehen stets in Wechselwirkung mit unserer Umwelt: Was wir tun, wirkt sich auf andere Menschen und alles andere in unserer Umwelt aus – was andere Menschen tun und auch sonst in unserer Umwelt geschieht, wirkt sich auf uns aus.
	I_NEEDS_HEADER	Header2		Bedürfnisse – Die Perspektive des Individuums
	I_NEEDS_STRIVE4SATIS	Particle	1	Wir Menschen versuchen zu jedem Zeitpunkt unserer Existenz, über die Erfüllung unserer Bedürfnisse, persönliche Zufriedenheit zu erreichen.
	I_NEEDS_FEELINGS	Particle	2	Unsere Gefühle sind die emotionale Verbindung zu unseren Bedürfnissen.
	I_NEEDS_MOTIVBYNEEDS	Particle	3	Jegliche Handlung eines Menschen – ob bewusst oder unbewusst, ob in uns oder unserer Umwelt - sind versuchte Strategien zur Befriedigung eiengener Bedürfnisse.
	I_NEEDS_DEEPESTMOTIV	Particle	4	Die tiefste Motivation eines jeden Menschen ist stets die Erfüllung von Bedürfnissen; nie die Schädigung anderer Menschen oder sonstiger Elemente seiner Umwelt.
	I_NEEDS_STRATSOURCE	Particle	5	Wir können nur auf Handlungsstrategien zurückgreifen, die wir gesehen, erlebt, erlernt oder neu kombiniert haben. Jederzeit testen, verfeinern oder verwerfen wir unsere Handlungsstrategien - bewusst wie unbewusst.
	I_NEEDS_1NEEDMANY	Particle	6	Es gibt stets eine Vielfalt an Handlungsstrategien, um uns ein bestimmtes Bedürfnis zu erfüllen. Unsere Kreativität ist der Zugang zu dieser Vielfalt.
	I_NEEDS_PRIORITIES	Particle	7	Die Priorisierungen unserer Bedürfnisse kann von Mensch zu Mensch und von Zeitpunkt zu Zeitpunkt unterschiedlich sein.
	I_DEVHIST_HEADER	Header2		Die Entwicklungsgeschichte des Individuums
	I_DEVHIST_DIFFCOMP	Particle	1	Jeder Mensch hat seine individuell verschiedene Entwicklungsgeschichte.
	I_DEVHIST_GENES_HEADER	Header3		Einfluss der Genetik
	I_DEVHIST_GENESUNITE	Particle	1	"Im Moment der Befruchtung vereinen sich die Gene der Mutter mit denen des Vaters und bilden den Bauplan neuen menschlichen Lebens. Dieser Bauplan ist der einzigartige* genetische Code eines jeden von uns – das Genom bzw. Erbgut.

*bis auf eineiige Zwillinge und Mehrlinge – diese haben identisches Erbgut."
	I_DEVHIST_SPECIESCODE	Particle	2	Einige spezifische Eigenschaften, die über Gene im Erbgut kodiert sind, haben alle Menschen gemeinsam – wir alle atmen, haben Blut in unseren Adern, usw.
	I_DEVHIST_EPIGEN	Particle	3	Die uns umgebenden Lebensumstände sowie unsere gewählte Lebensweise beeinflussen stets, ob und wie sich bestimmte Gensequenzen auf unser Leben auswirken. (Epigenetik)
	I_DEVHIST_FOOD_HEADER	Header3		Einfluss von Nahrung und anderen physischen Gegebenheiten
	I_DEVHIST_FOODQUALITY	Particle	1	Die regelmäßige Aufnahme von Wasser und Nahrung ist eine biologische Notwendigkeit eines sich entwickelnden Menschen. Die Wasser- und Nahrungsmittelqualität beeinflussen unsere Gesundheit, Fitness und Krankheitsresistenz.
	I_DEVHIST_PHYSDANGER	Particle	2	Umwelteinflüsse wie toxische Chemikalien, extreme Lautstärke, Temperatur oder Strahlung können die Entwicklung und Gesundheit unseres Organismus erheblich gefährden.
	I_DEVHIST_SOCIAL_HEADER	Header3		Einfluss von Sozialisation
	I_DEVHIST_ADOPT	Particle	1	Wir nehmen das Verhalten unserer Mitmenschen wahr. Auf je weniger Erfahrung wir dabei zurückgreifen können, desto eher eignen wir uns Gedanken, Haltungen, Werte und Verhaltensmuster unserer Mitmenschen an (z.B. übernehmen Kinder tendenziell die Verhaltensmuster der Kultur, in der sie aufwachsen).
	I_DEVHIST_CHILDREN	Particle	2	Eltern, die Familie und generell das soziale Umfeld, in dem ein Kind aufwächst, haben einen erheblichen Einfluss auf dessen Blick auf die Welt sowie dessen Fertigkeiten, sich in der Welt zurecht zu finden.
	I_DEVHIST_SOCIALSHAPE	Particle	3	Unsere Werte, Haltungen und somit unsere Verhaltensmuster werden u.a. sowohl durch unsere Freundeskreise, Bildungssysteme und Arbeitsumfelder als auch gesellschaftliche Bewegungen, Institutionen, Traditionen und Gesetze beeinflusst
	I_DEVHIST_FREEDOMSHAPE	Particle	4	Unsere Verhaltensmuster werden in großem Umfang davon beeinflusst, welche Entfaltungsmöglichkeiten uns die derzeitige Organisationsstruktur der Gesellschaft ermöglicht bzw. erlaubt.
	I_DEVHIST_SPIRIT_HEADER	Header3		Einfluss von Spiritualität
	I_DEVHIST_SPIRIT	Particle	1	Spirituelle Erfahrungen können einen tiefgreifenden Einfluss auf unser Sein und unser Verhalten ausüben.
	I_DEVHIST_SPIRIT_EXPL	Explanation	2	Spiritualität ist ein großer, vielschichtiger, verschieden erklärter Begriff. Menschen setzen sich mit den verschiedensten Persönlichkeitstypen der Astrologie, des Enneagramms, verschiedensten Naturlehren, Traumdeutung, Mystik, Tarot, Religionen, Energien, Auren, Ahnungen, Vorstellungen über die Herkunft der Menschen oder das Leben nach dem Tod, Eingebungen, Erscheinungen und vielen anderen Formen von Spiritualität auseinander. Alle gemein haben spirituelle Themen, dass zwar wenig verstanden und schwer greifbar sind, aber eine in gleichem Maße faszinierende Wirkung ausüben und Menschen bereichern und beflügeln können.
	I_DEVHIST_EXP_HEADER	Header3		Auswirkung von Lebenserfahrungen
	I_DEVHIST_PERMANENT	Particle	1	Die Gesamtheit aller Umwelteinflüsse wirkt in all unseren Lebensphasen. Besonders sensibel reagieren wir Menschen auf Einflüsse in frühen Entwicklungsphasen, auch bereits während der Schwangerschaft.
	I_DEVHIST_DEEPEXP	Particle	2	Das Leben bringt teils erkenntnisreiche, schmerzliche oder anderweitig prägende Erfahrungen mit sich, die unsere Wahrnehmung und unser Verhalten über unser gesamtes Leben hinweg beeinflussen.
	I_DEVHIST_TRAUMA	Particle	3	Schmerzhafte oder existenziell bedrohliche Lebenserfahrungen können Traumata hervorrufen, welche besonders starke Auswirkungen auf unsere Gesundheit, persönliche Entwicklung und Potenzialentfaltung haben.
	I_SENSE_HEADER	Header2		Wahrnehmung
	I_SENSE_SENSES	Particle	1	Wir alle haben Sinne, mit deren Hilfe wir uns selbst und unsere Umwelt erfassen können.
	I_SENSE_IMPRINT	Particle	2	Durch Erfahrungen im Laufe unserer Entwicklungsgeschichte prägen sich unsere persönliche Realität und unsere persönliche Wahrheit (z.B. Haltungen, Meinungen und Überzeugungen).
	I_SENSE_ASSESSMENT	Particle	3	Unsere persönliche Wahrheit beeinflusst bewusst wie unbewusst unsere Wahrnehmung und trägt somit dazu bei, erfasste Signale für uns auf verschiedene Weise einzuordnen zwischen "gut" oder "schlecht", „heilsam“ oder „schädlich“, "vertrauenswürdig" oder "verdächtig" sowie "bekannt“ oder „fremd“.
	I_SENSE_ABSTRUTH	Particle	4	Es passiert uns Menschen, die Annahmen unserer persönlichen Wahrheit als „absolute Wahrheit“ zu deklarieren. Manchmal vergessen wir, dass es Annahmen bleiben.
	I_SENSE_DIFFPERCEPT	Particle	5	Jede*r von uns nimmt die gemeinsame Realität verschieden wahr, weshalb wir uns in ähnlichen Situationen und Umgebungen oft unterschiedlich verhalten.
	I_BEHAV_HEADER	Header2		Verhalten
	I_BEHAV_STATE	Particle	1	Die verschiedenen Einflüsse im Laufe unserer Entwicklungsgeschichte führen zu unserem jeweiligen momentanen Seins-Zustand.
	I_BEHAV_STATECHANGE	Particle	2	Unser Seins-Zustand verändert sich kontinuierlich.
	I_BEHAV_ENVPLUSSTATE	Particle	3	Unser Verhalten ist die direkte Folge unseres momentanen Seins-Zustands im Zusammenspiel mit den momentanen Umwelteinflüssen.
	I_BEHAV_DEVHISTKEY	Particle	4	Das Verhalten eines Menschen liegt in seiner Entwicklungsgeschichte begründet. Deshalb ist es notwendig, die Bedeutung und individuelle Auswirkung von Umwelteinflüssen zu verstehen, um das Verhalten von (Gruppen von) Menschen in einer bestimmten Situation nachvollziehen zu können.
	I_BEHAV_CHANGE	Particle	5	Wir können unser Verhalten und unsere Wahrnehmung ändern, indem wir uns neuen Einflüssen aussetzen (z.B. neue Orte besuchen oder mit fremden Menschen sprechen). Dadurch machen wir neue Erfahrungen, und verändern somit unsere persönliche Realität wie auch unsere persönliche Wahrheit, die wiederum unsere Wahrnehmung und unser Verhalten beeinflusst.
	I_MOTIV_HEADER	Header2		Motivation von innen heraus
	I_MOTIV_INNERMOVEMENT	Particle	1	Jede*n von uns beschäftigen Themen, die uns (emotional) bewegen. Diese Themen bewegen uns von innen heraus (intrinsisch).
	I_MOTIV_FOLLOWINTRINSIC	Particle	2	Unsere intrinsisch motivierten Themen sind Wegweiser zu tiefgründiger Zufriedenheit.
	I_MOTIV_PATHMOOD	Particle	3	Dem Weg unserer intrinsischen Motivation zu folgen, kann für uns sowohl inspirierend als auch beängstigend sein.
	I_MOTIV_GUIDANCE	Particle	4	Die Begleitung durch andere Menschen kann uns helfen, einen für uns stimmigen Weg zu finden, wie wir intrinsisch motivierte Themen angehen können.
	I_MOTIV_INTRINSICBENACT	Particle	5	Ein Entwicklungsziel der globalen Gesellschaft sollte die Etablierung von Kulturen und Systemen sein, in denen wir Menschen unser Sein und Handeln soweit wie möglich an unserer intrinsischen Motivation ausrichten können.
	I_MOTIV_PARTIAL	Particle	6	Unsere Handlungen können Anteile intrinsischer und Anteile extrinsischer Motivation enthalten.
	I_MOTIV_DISCONNECTION	Particle	7	Die systematische Anwendung von äußeren Anreizen bei gleichzeitigem Ignorieren der intrinsischen Motivation eines Menschen kann zum Verlust der emotionalen Verbindung des Menschen zu seinen Bedürfnissen und somit dem Verlust seiner intrinsischen Motivation führen. (Trennung von sich selbst).
	I_MOTIV_INTRINSICISAKEY	Particle	8	Je authentischer Menschen ihrer intrinsischen Motivation folgen (können), desto näher kommen wir einer Gesellschaft, die für alle von uns funktioniert.
	I_LEARN_HEADER	Header2		Selbstbestimmtes Lernen
	I_LEARN_SAFESPACE	Particle	1	Jede*r von uns braucht geschützte Räume, in denen wir ganz wir selbst sein und eigenständig wachsen können.
	I_LEARN_NEED4GUIDANCE	Particle	2	Empathische Begleitung – auch durch uns selbst - kann uns dabei helfen, uns unseren Themen zu nähern, damit sein zu können, sie in ihrer Ganzheit zu erfassen, sowie mögliche Wege zu gestalten.
	I_LEARN_ABLE4EMPATHY	Particle	3	Jeder Mensch ist empathiefähig.
	I_LEARN_EVERYBODY	Particle	4	Wir alle eigenen uns Wissen, Fertigkeiten und neue Handlungsstrategien an, um unsere Vorhaben zu realisieren und unseren Herausforderungen zu begegnen.
	I_LEARN_INTRINSICBASE	Particle	5	Wir können vor allem dann effektiv lernen, wenn unser Interesse unserer inneren (intrinsischen) Motivation entspringt.
	I_LEARN_LEARNANDGUIDE	Particle	6	Jeder Mensch kann sowohl lernen als auch begleiten.
	I_LEARN_PROVIDEGUIDE	Particle	7	Ein Entwicklungsziel der globalen Gesellschaft sollte es sein, dass jeder Mensch über sein gesamtes Leben hinweg bei seinem Lernprozess Begleitung finden kann.
	I_LEARN_SUPPORTINTRINSIC	Particle	8	Ein Schwerpunkt der Begleitung von Menschen bei ihrem eigenen Lernprozess sollte die Unterstützung intrinsischer Motivation und Neugier sein.
	I_LEARN_CREATIVITY	Particle	9	Ein Schwerpunkt der Begleitung von Menschen bei ihrem eigenen Lernprozess sollte die Unterstützung ihrer Kreativität beim Überwinden von Herausforderungen sein.
	I_LEARN_ACCESS	Particle	10	Ein Entwicklungsziel der globalen Gesellschaft sollte es sein, jedem Menschen Zugang zu Wissen, Informationen und Fertigkeiten zu ermöglichen.
	I_LEARN_TRAVEL	Particle	11	Jedem Menschen sollte es möglich sein, die Welt zu bereisen, um andere Menschen, Kulturen und Lebenswelten erleben zu können.
	I_LEARN_RESOURCES	Particle	12	Jeder Mensch sollte auf die aus dessen Sicht notwendigen Ressourcen (z.B. Orte zum Trainieren, Ausrüstung zum ausprobieren) Zugriff haben, um selbstbestimmt lernen zu können. Außerdem sollte jeder Mensch diese Ressourcen sowie jene, die sie im Lernen begleiten wollen, suchen und finden können.
	I_LEARN_TEACHINTRINSIC	Particle	13	Viele Menschen begleiten andere Menschen gern und aus intrinsischer Motivation heraus. Sie haben Freude daran, ihr Wissen und ihre Fertigkeiten aktiv an andere Menschen weiterzugeben.
	I_LEARN_SHOWINTERDEP	Particle	14	Zur ganzheitlichen Vermittlung von Wissen und Fertigkeiten sollten Verbindungen und Abhängigkeiten zwischen einzelnen Themengebieten aufgezeigt werden.
	WE_HEADER	Header1		Menschen und ihre Verbindung zueinander
	WE_INTROHEADER	Intro		Einführung
	WE_INTROTEXT	Text		"In diesem Abschnitt geht es um uns als Teil einer GESELLSCHAFT, das heißt einer Gruppe von Menschen, die miteinander in Verbindung stehen.
Wenn wir annehmen würden, dass die globale Gesellschaft bestrebt ist, ihre Mitglieder bei der Erfüllung ihrer Bedürfnisse so effektiv wie möglich zu unterstützen und somit tiefgründige Zufriedenheit, Synergie und Frieden zu ermöglichen, dann brauchte es auch Veränderung in unserem Miteinander.  […]"
	WE_SOCIO_HEADER	Header2		Gesellschaft
	WE_SOCIO_CONNECTION	Particle	1	Jede*r von uns ist Teil der Umwelt eines jeden anderen Menschen. Daher steht jede*r von uns direkt oder indirekt mit jedem anderen Menschen auf der Erde in Verbindung.
	WE_SOCIO_HUMANTOSYS	Particle	2	Jede*r von uns beeinflusst das Verhalten anderer Menschen und daher auch die Kulturen und Systeme in unserer globalen Gesellschaft.
	WE_SOCIO_CONFLICT	Particle	3	Die Handlungsstrategien von einzelnen Menschen oder Gruppen (unsere Werte, Interessen, Lebensentwürfe und Ziele) können in Konflikt miteinander stehen – nicht Menschen selbst oder ihre Bedürfnisse.
	WE_SOCIO_ESCALATION	Particle	4	Konflikte können eskalieren und zu Gewalt führen – auf allen Ebenen des Seins (z.B. körperlich, mental, emotional, usw.)
	WE_SOCIO_VIOLENCE	Particle	5	Kommen wir in Not, weil wir die Erfüllung unserer Bedürfnisse durch Teile unserer Umwelt (z.B. andere Menschen) bedroht sehen, kann es uns passieren, dass wir diesen Teilen gewalttätig begegnen – im Großen wie im Kleinen
	WE_SOCIO_NOHARMONY	Particle	6	Nehmen wir Teile unserer Umwelt (z.B. andere Menschen) als nicht-unterstützend wahr, fällt es uns schwerer, Anlass zu sehen, unsere Verhaltensweisen mit diesen Teilen in Einklang zu bringen.
	WE_SOCIO_WINWIN	Particle	7	Beziehungen, die für alle Beteiligten Vorteile bringen (Win-Win-Beziehungen), nutzen jedem einzelnen Menschen als auch der Gesellschaft im Ganzen.
	WE_SOCIO_WINCULTURE	Particle	8	Ein Entwicklungsziel der globalen Gesellschaft sollte die Etablierung einer Kultur des Miteinander sein, die für alle Menschen Vorteile bringen.
	WE_SOCIO_RESOLVE	Particle	9	Ein Entwicklungsziel der globalen Gesellschaft sollte die Unterstützung der Auflösung von Ziel-, Interessen- und Strategiekonflikten sein, damit sich jede*r von uns so frei wie möglich entfalten kann.
	WE_SOCIO_RESOLVETOPEACE	Particle	10	Je effektiver jede*r von uns Konflikte durch entsprechende Fertigkeiten sowie durch Unterstützung von außen auflösen kann, desto eher ist die Kultur unserer globalen Gesellschaft von Synergie und Frieden geprägt.
	WE_COORD_HEADER	Header2		Bedürfnisorientierte Koordination
	WE_COORD_RESBYNBC	Particle	1	Konflikte können durch die koordinierte Befriedigung von Bedürfnissen gelöst werden. (Bedürfnisorientierte Koordination)
	WE_COORD_STRATASPECTS	Particle	2	Jede Handlungsstrategie eines Menschen enthält verschiedene für diesen Menschen wichtige Aspekte. Diese Aspekte können wiederum in dahinter liegende Bedürfnisse zerlegt werden, die ein Mensch zu erfüllen versucht.
	WE_COORD_SHAREDESSENCE	Particle	3	Kollidierende Handlungsstrategien enthalten stets eine Essenz gemeinsamer Aspekte, die es allen Beteiligten und Betroffenen ermöglicht, eine Lösung zu entwickeln, die für alle von ihnen funktioniert.
	WE_COORD_EXCHANGE	Particle	4	Bedürfnisorientierte Koordination braucht einen gemeinsamen Kommunikationsprozess (z.B. Austausch von Wahrnehmungen, Wissen, Perspektiven und Hintergründen), der gemeinsames Verständnis schafft.
	WE_COORD_COOPBASE	Particle	5	Zur bedürfnisorientierten Koordination braucht es Kooperation aller Beteiligten und Betroffenen mit dem gemeinsamen Ziel, eine Lösung zu finden, die für alle von ihnen funktioniert
	WE_COORD_SYSCONSENSUS	Particle	6	Eine Lösung, die für alle funktioniert, stößt bei keinem der Beteiligten oder Betroffenen auf Widerstände, Bedenken oder Sorgen. (Systemischer Konsens)
	WE_COORD_WINWAY	Particle	7	Bedürfnisorientierte Koordination ist für alle Betroffenen und Beteiligten effektiver und nachhaltiger hinsichtlich der Erfüllung ihrer Bedürfnisse als andere Wege der Lösungsfindung.
	WE_COORD_SOLUTIONSTEP	Particle	8	Bei Mangel an Ressourcen (z.B. Zeit, Kreativität, Informationen, Einflussmöglichkeiten) kann es scheinen, also ob eine Lösung, die für alle funktioniert, nicht gefunden werden kann. Allerdings ist es auch dann möglich, unter diesen Umständen eine Zwischenlösung zu finden, die in diesem Moment für alle funktioniert.
	WE_COORD_PROTECT	Particle	9	Im Falle gewaltsamer Auseinandersetzungen benötigt eine Gesellschaft Strategien, Menschen voreinander zu schützen. Bedürfnisorientierte Koordination sollte dabei stets angestrebt werden.
	WE_COOP_HEADER	header2		Bedürfnisorientierte Kooperation
	WE_COOP_FOSTER	Particle	1	Ein Entwicklungsziel der globalen Gesellschaft sollte die systematische Förderung von Kooperation sein.
	WE_COOP_INFLUENCE	Particle	2	Ein Entwicklungsziel der globalen Gesellschaft sollte darin bestehen, Menschen zu ermöglichen, Strukturen und Prozesse, an denen sie beteiligt oder von denen sie betroffen sind, den eigenen Bedürfnissen entsprechend anpassen zu können. Somit kann verhindert werden, dass Menschen mit starren Systemen in Konflikt geraten.
	WE_COOP_PRIVILEGE	Particle	3	"Authentische und effiziente Kooperation kann dadurch erschwert werden, dass Verhaltensweisen aufgrund von Merkmalen wie Geschlecht, Hautfarbe, usw. bewertet werden.
Geschieht diese Bewertung über längere Zeit innerhalb einer Gesellschaft, können sich unbewusste Dominanzstrukturen manifestieren.
"
	WE_COOP_APPLYNBC	Particle	4	Ein Entwicklungsziel der globalen Gesellschaft sollte die konsequente Anwendung von Bedürfnisorientierter Koordination sein – in Entscheidungsprozessen sowie Konflikten.
	WE_COOP_PEACE	Particle	5	Die Auflösung und Vermeidung gesellschaftlicher Konflikte durch Bedürfnisorientierte Koordination ist ein erfolgversprechender Ansatz, um Beziehungen, die für alle Vorteile bringen, und folglich eine globale Gesellschaft in Frieden zu ermöglichen.
	WE_COMM_HEADER	header2		Bedürfnisorientierte Kommunikation
	WE_COMM_LISTENING	Particle	1	Es dient der Verständigung, wenn alle Beteiligten und Betroffenen ihre Sichtweisen vortragen können, während die jeweils anderen zuhören und zu verstehen versuchen.
	WE_COMM_OBSERVATIONS	Particle	2	Es dient der Verständigung, wenn Situationen anhand von Beobachtungen anstatt Interpretationen geschildert werden.
	WE_COMM_REFERENCE	Particle	3	Es dient der Verständigung, wenn Bezug auf die persönliche oder gemeinsame Realität genommen wird anstatt auf eine vermeintliche „absolute“ Realität.
	WE_COMM_SEEINGISNOTAGREEING	Particle	4	Einen anderen Menschen empathisch zu verstehen bedeutet nicht, seinen Handlungsstrategien zuzustimmen oder seine persönliche Wahrheit zu teilen.
	WE_COMM_HIDDENNEEDS	Particle	5	Gespräche, bei denen die Aspekte und Bedürfnisse der beteiligten Parteien hinter Vorwürfen und Rechtfertigungen verborgen bleiben, können langwierig und kräftezehrend sein und führen schließlich weder zu Verständigung noch zu nachhaltigen Lösungen.
	ECO_HEADER	Header1		Ressourcenreichhaltigkeit im Einklang mit den Ökosystemen der Erde
	ECO_INTROHEADER	Intro		Einführung
	ECO_INTROTEXT	Text		"In diesem Abschnitt geht es um die Herausforderung, „Ressourcenreichhaltigkeit im Einklang mit den
Ökosystemen der Erde“ zu schaffen.
Wir alle brauchen RESSOURCEN. Das können Materialien, Werkzeuge, aber auch Dinge wie Zeit, Kraft und Raum
sein. […]"
	ECO_RES_HEADER	Header2		Knappheit und Reichhaltigkeit
	ECO_RES_WORLDINSCARCITY	Particle	1	Ressourcenknappheit ist ein allgegenwärtiges Phänomen, das den Zugang zu tiefgründiger Zufriedenheit für einen Großteil der globalen Gesellschaft erschwert.
	ECO_RES_DELIBABUNDANCE	Particle	2	Ein Entwicklungsziel der globalen Gesellschaft sollte die gezielte Schaffung von Ressourcenreichhaltigkeit sein.
	ECO_RES_WAYSTOABUNDANCE	Particle	3	"Ressourcenreichhaltigkeit bzgl. einer bestimmten Ressource kann auf zwei Wegen erreicht werden:
1) indem die Menge dieser Ressource vergrößert wird
2) indem die Strategien zur Befriedung von Bedürfnissen so angepasst werden, dass sie weniger bzw. andere
Ressourcen benötigen"
	ECO_RES_SCARTECH	Particle	4	Konzepte wie Eigentum, Tauschhandel und Geld sind Technologien zum Umgang mit Knappheit.
	ECO_RES_SCARASBASIS	Particle	5	Die Integration von Konzepten wie Eigentum, Tauschhandel und Geld als Basis gesellschaftlicher Entwicklung kann dazu führen, dass Menschen Knappheit als unveränderlichen Zustand annehmen.
	ECO_RES_ACCESSREQUIRED	Particle	6	Erst der Zugang zu einer Ressource ermöglicht einem Menschen, diese Ressource zu nutzen.
	ECO_RES_DELIBACCESSABUN	Particle	7	Ein Entwicklungsziel der globalen Gesellschaft sollte die gezielte Schaffung von Zugriffsreichhaltigkeit sein.
	ECO_RES_NEEDSBASEDCOORD	Particle	8	"Den Umgang mit Ressourcen durch Bedürfnisorientierte Koordination zu organisieren, kann Knappheit zu einer gemeinsam getragenen Herausforderung für alle Beteiligten und Betroffenen machen und darüber hinaus zu Ressourcenreichhaltigkeit führen.
